,date,top_artists,top_1,top_2,top_3
30,2023-01-31,"['Penny Marshall', 'Michael McKean', 'XXXTentacion']",Penny Marshall,Michael McKean,XXXTentacion
31,2023-02-01,"['Penny Marshall', 'XXXTentacion', 'Ozzy Osbourne']",Penny Marshall,XXXTentacion,Ozzy Osbourne
32,2023-02-02,"['XXXTentacion', 'Ozzy Osbourne', 'Sally Field']",XXXTentacion,Ozzy Osbourne,Sally Field
33,2023-02-03,"['Austin Butler', 'XXXTentacion', 'Shania Twain']",Austin Butler,XXXTentacion,Shania Twain
34,2023-02-04,"['Vani Jairam', 'Lewis Capaldi', 'XXXTentacion']",Vani Jairam,Lewis Capaldi,XXXTentacion
35,2023-02-05,"['Vani Jairam', 'XXXTentacion', 'Salma Hayek']",Vani Jairam,XXXTentacion,Salma Hayek
36,2023-02-06,"['Kim Petras', 'Brandi Carlile', 'Bonnie Raitt']",Kim Petras,Brandi Carlile,Bonnie Raitt
37,2023-02-07,"['Kim Petras', 'Sam Smith', 'Madonna']",Kim Petras,Sam Smith,Madonna
38,2023-02-08,"['Kim Petras', 'Madonna', 'XXXTentacion']",Kim Petras,Madonna,XXXTentacion
39,2023-02-09,"['Kim Petras', 'XXXTentacion', 'Madonna']",Kim Petras,XXXTentacion,Madonna
40,2023-02-10,"['Salma Hayek', 'Rihanna', 'XXXTentacion']",Salma Hayek,Rihanna,XXXTentacion
41,2023-02-11,"['Salma Hayek', 'Sam Smith', 'Rihanna']",Salma Hayek,Sam Smith,Rihanna
42,2023-02-12,"['Rihanna', 'Chris Stapleton', 'Sheryl Lee Ralph']",Rihanna,Chris Stapleton,Sheryl Lee Ralph
43,2023-02-13,"['Rihanna', 'Chris Brown', 'Bradley Cooper']",Rihanna,Chris Brown,Bradley Cooper
44,2023-02-14,"['Rihanna', 'Paris Hilton', 'Ezra Miller']",Rihanna,Paris Hilton,Ezra Miller
45,2023-02-15,"['Raquel Welch', 'Rihanna', 'XXXTentacion']",Raquel Welch,Rihanna,XXXTentacion
46,2023-02-16,"['Raquel Welch', 'Bruce Willis', 'Rihanna']",Raquel Welch,Bruce Willis,Rihanna
47,2023-02-17,"['Bruce Willis', 'Raquel Welch', 'Rihanna']",Bruce Willis,Raquel Welch,Rihanna
48,2023-02-18,"['Raquel Welch', 'Bruce Willis', 'Rihanna']",Raquel Welch,Bruce Willis,Rihanna
49,2023-02-19,"['Raquel Welch', 'Bruce Willis', 'Rihanna']",Raquel Welch,Bruce Willis,Rihanna
50,2023-02-20,"['Rihanna', 'Post Malone', 'Raquel Welch']",Rihanna,Post Malone,Raquel Welch
51,2023-02-21,"['Hayden Panettiere', 'Rihanna', 'XXXTentacion']",Hayden Panettiere,Rihanna,XXXTentacion
52,2023-02-22,"['XXXTentacion', 'Hannah Waddingham', 'Hayden Panettiere']",XXXTentacion,Hannah Waddingham,Hayden Panettiere
53,2023-02-23,"['Lewis Capaldi', 'R. Kelly', 'XXXTentacion']",Lewis Capaldi,R. Kelly,XXXTentacion
54,2023-02-24,"['Lewis Capaldi', 'R. Kelly', 'XXXTentacion']",Lewis Capaldi,R. Kelly,XXXTentacion
55,2023-02-25,"['Linda Ronstadt', 'XXXTentacion', 'Lewis Capaldi']",Linda Ronstadt,XXXTentacion,Lewis Capaldi
56,2023-02-26,"['Olivia Newton-John', 'XXXTentacion', 'Jack White']",Olivia Newton-John,XXXTentacion,Jack White
57,2023-02-27,"['Sally Field', 'Zendaya', 'XXXTentacion']",Sally Field,Zendaya,XXXTentacion
